title,url,image,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en Alameda de Osuna,https://www.pisos.com/comprar/piso-alameda_de_osuna_barrio-60931755440_100500/,https://fotos.imghs.net/mm-wp/1005/622/1005_4222622_20_202602052030032033278.jpg,unknown,699.000 €,Alameda de Osuna (Distrito Barajas. Madrid Capital),3 habs.,2 baños,130 m²,3ª planta
Piso en Avenida de Las Suertes,https://www.pisos.com/comprar/piso-ensanche_de_vallecas_valdecarros28051-62555945233_100500/,https://fotos.imghs.net/mm-wp/1005/487/1005_4236487_1_202603071330016312032.jpg,unknown,475.000 €,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),3 habs.,2 baños,89 m²,8ª planta
Piso en Avenida de Santa Eugenia,https://www.pisos.com/comprar/piso-villa_de_vallecas_santa_eugenia-62592568640_100500/,https://fotos.imghs.net/mm-wp/1005/499/1005_4241499_1_202603241900072008412.jpg,unknown,390.000 €,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),3 habs.,2 baños,125 m²,1ª planta
"Ático en calle de Espartinas, 7",https://www.pisos.com/comprar/atico-goya28001-61747918133_520200/,https://fotos.imghs.net/mm-wp/520200/61747918133.520200/520200_61747918133_89d0d670-ee13-4522-a9fa-f414a51d5bcd.jpg,unknown,1.079.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),1 hab.,1 baño,107 m²,ático
Piso en Avenida de la Institución Libre de Enseñanza,https://www.pisos.com/comprar/piso-san_blas_amposta-63357380863_994867/,https://fotos.imghs.net/mm-wp/994867/63357380863.994867/994867_63357380863_887ac0ad-403a-441a-9177-2c8c1d2217b8.jpg,unknown,399.000 €,Amposta (Distrito San Blas. Madrid Capital),4 habs.,2 baños,104 m²,1ª planta
Ático en calle Castelló,https://www.pisos.com/comprar/atico-recoletos28001-46762124605_524671/,https://fotos.imghs.net/mm-wp/524671/46762124605.524671/524671_46762124605_94df7455-5c66-4c29-aceb-9471b6f3bad0.jpg,unknown,3.990.000 €,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,3 baños,195 m²,ático
Ático en calle de Jesús del Valle,https://www.pisos.com/comprar/atico-universidad_malasana28004-63334362162_100500/,https://fotos.imghs.net/mm-wp/1005/383/1005_285225708383_1_202604271802506802436.jpg,unknown,549.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),2 habs.,1 baño,85 m²,ático
Piso en calle de los Picos de Europa,https://www.pisos.com/comprar/piso-numancia28038-61736142440_100500/,https://fotos.imghs.net/mm-wp/1005/865/1005_276723791865_1_202602051653509782294.jpg,unknown,160.000 €,Numancia (Distrito Puente de Vallecas. Madrid Capital),1 hab.,1 baño,25 m²,2ª planta
"Piso en calle de Relatores, 10",https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-63388336792_515177/,https://fotos.imghs.net/mm-wp/515177/63388336792.515177/515177_63388336792_b5d164d8-2670-48c2-8bba-1243b552e7a5.jpg,unknown,389.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2 habs.,2 baños,60 m²,bajo
Piso en calle de Alonso Cano,https://www.pisos.com/comprar/piso-rio_rosas28003-64171191631_528990/,https://fotos.imghs.net/mm-wp/528990/64171191631.528990/528990_64171191631_f409067a-3c2f-49fa-95d3-642486f33db0.jpg,unknown,1.500.000 €,Río Rosas (Distrito Chamberí. Madrid Capital),2 habs.,3 baños,120 m²,2ª planta
Piso en calle del General Pardiñas,https://www.pisos.com/comprar/piso-goya28001-62562598810_528990/,https://fotos.imghs.net/mm-wp/528990/62562598810.528990/528990_62562598810_b6c5f09d-1b4c-4fb6-8ad4-80a79c390496.jpg,unknown,1.170.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,2 baños,83 m²,6ª planta
Ático en calle de Caramuel,https://www.pisos.com/comprar/atico-latina_carmenes28047-62564453256_518874/,https://fotos.imghs.net/mm-wp/518874/62564453256.518874/518874_62564453256_4376b3d9-6b6f-439d-8928-08de2919a8f2.jpg,unknown,520.000 €,Cármenes (Distrito Latina. Madrid Capital),1 hab.,1 baño,122 m²,ático
